CUST_ID,BALANCE_CREDIT_RATIO,PURCHASES_CREDIT_RATIO,CASH_ADVANCE_CREDIT_RATIO,SPENDING_CREDIT_RATIO,ACTIVITY_SCORE,PRC_FULL_PAYMENT,CASH_ADVANCE_DOMINANCE,BALANCE_UTILIZATION,PURCHASES_FREQUENCY,CASH_ADVANCE_FREQUENCY,cluster,pseudo_label
C10063,0.9723710631189227,0.04137499999974141,0.0,0.04137499999974141,0.361111,0.0,0.0,0.9723710631189227,0.083333,0.0,0,0
C10064,0.19508023566218055,0.0,0.9204030038532038,0.9204030038532038,0.4848486666666667,0.090909,0.999999999997382,0.19508023566218055,0.0,0.545455,0,0
C10065,0.004470222499972061,0.5249999999967188,0.0,0.5249999999967188,0.05808066666666667,0.0,0.0,0.004470222499972061,0.083333,0.0,0,0
C10067,1.0399388135078924,1.0203459459404307,0.8680807410763888,1.8884266870168194,0.6944443333333333,0.083333,0.4596846396220053,1.0399388135078924,1.0,0.083333,0,0
C10068,0.9766999927723518,0.2290722222209496,0.0,0.2290722222209496,0.5277776666666667,0.0,0.0,0.9766999927723518,0.583333,0.0,0,0
C10070,0.630522011597478,0.0,0.15316341879938736,0.15316341879938736,0.4722223333333333,0.0,0.9999999999738841,0.630522011597478,0.0,0.416667,0,0
C10071,0.6650872631655582,0.043916666666593475,0.0,0.043916666666593475,0.5555556666666667,0.083333,0.0,0.6650872631655582,0.666667,0.0,0,0
C10072,0.9996679329352962,0.8021705882305755,0.0,0.8021705882305755,0.4444443333333334,0.0,0.0,0.9996679329352962,0.333333,0.0,0,0
C10073,0.8780293958385952,0.06705599999989272,0.10006390175983991,0.1671199017597326,0.75,0.0,0.5987551494779075,0.8780293958385952,0.916667,0.333333,0,0
C10077,0.8039877417742045,0.31728888888747875,0.0,0.31728888888747875,0.5,0.0,0.0,0.8039877417742045,0.5,0.0,0,0
C10078,0.08872241949985213,0.13198999999978003,0.0,0.13198999999978003,0.39393933333333336,0.0,0.0,0.08872241949985213,0.272727,0.0,0,0
C10079,0.9767389373317055,0.09364499999984392,0.0,0.09364499999984392,0.6111110000000001,0.0,0.0,0.9767389373317055,0.833333,0.0,0,0
C10080,0.15705804081803904,0.055100909090859,0.0,0.055100909090859,0.6666666666666666,0.0,0.0,0.15705804081803904,1.0,0.0,0,0
C10081,0.38587311933076085,0.21333333333191112,0.0,0.21333333333191112,0.5833333333333334,0.0,0.0,0.38587311933076085,0.75,0.0,0,0
C10083,0.9419743777129401,0.055522857142777826,0.6602763685704853,0.7157992257132632,0.6666666666666666,0.0,0.922432359313089,0.9419743777129401,0.583333,0.416667,0,0
C10084,0.003471512599993057,0.04896999999990206,0.0,0.04896999999990206,0.5252526666666667,0.181818,0.0,0.003471512599993057,0.666667,0.0,0,0
C10085,0.008587864315780434,0.0,0.31424210589440604,0.31424210589440604,0.14646466666666666,0.0,0.9999999999966502,0.008587864315780434,0.0,0.166667,0,0
C10086,0.00031552583333307034,0.011087499999990761,0.0,0.011087499999990761,0.35101033333333337,0.444444,0.0,0.00031552583333307034,0.416667,0.0,1,1
C10087,0.03538702499970511,0.32999999999725005,0.0,0.32999999999725005,0.348485,1.0,0.0,0.03538702499970511,0.5,0.0,1,1
C10089,0.008176800121207166,0.07562424242419659,0.0,0.07562424242419659,0.6666666666666666,1.0,0.0,0.008176800121207166,1.0,0.0,1,1
C10092,0.6060186022958474,0.16725999999987612,0.3889799210367489,0.556239921036625,0.9166666666666666,0.0,0.6993024166825648,0.6060186022958474,1.0,0.75,0,0
C10093,0.8971790351091175,0.009999999999977778,0.023164014222170747,0.03316401422214853,0.38888866666666666,0.0,0.6984683478138345,0.8971790351091175,0.083333,0.083333,0,0
C10094,0.9400408098447076,0.0,0.418039064153203,0.418039064153203,0.4722223333333333,0.0,0.9999999999963198,0.9400408098447076,0.0,0.416667,0,0
C10096,0.4942517724987644,0.258009999999355,1.08397980674729,1.3419898067466451,0.8181820000000001,0.090909,0.8077407155372797,0.4942517724987644,0.909091,0.545455,0,0
C10097,0.7341533777736992,0.025361111110970218,0.2753655188873591,0.30072662999832933,0.38888866666666666,0.0,0.915667225359463,0.7341533777736992,0.083333,0.083333,0,0
C10098,0.5448824337477296,0.16899999999929585,0.0,0.16899999999929585,0.388889,0.0,0.0,0.5448824337477296,0.166667,0.0,0,0
C10099,0.9706190699959558,0.08889166666629629,0.0,0.08889166666629629,0.4166666666666667,0.0,0.0,0.9706190699959558,0.25,0.0,0,0
C10100,0.9498190683254182,0.0,0.10051075999916241,0.10051075999916241,0.361111,0.0,0.9999999999170902,0.9498190683254182,0.0,0.083333,0,0
C10101,0.26999261799955,0.12323999999979461,0.0,0.12323999999979461,0.5555556666666667,0.0,0.0,0.26999261799955,0.666667,0.0,0,0
C10102,0.876417827747809,0.0,0.42849607624892877,0.42849607624892877,0.5,0.0,0.9999999999941657,0.876417827747809,0.0,0.5,0,0
C10103,0.0006725772857133249,0.011285714285698164,0.0,0.011285714285698164,0.20454533333333336,1.0,0.0,0.0006725772857133249,0.25,0.0,1,1
C10105,0.0032505899999783297,0.013333333333244445,0.0,0.013333333333244445,0.25925933333333334,0.0,0.0,0.0032505899999783297,0.111111,0.0,0,0
C10106,0.011697205499941516,0.6731399999966343,0.0,0.6731399999966343,0.42424233333333333,0.0,0.0,0.011697205499941516,1.0,0.0,0,0
C10108,0.00013871999999969173,0.0866577777775852,0.0,0.0866577777775852,0.3636363333333333,0.0,0.0,0.00013871999999969173,1.0,0.0,0,0
C10109,0.2155180949994612,0.0,0.2300774512494248,0.2300774512494248,0.361111,0.083333,0.9999999999891341,0.2155180949994612,0.0,0.083333,0,0
C10110,0.610385747748474,0.201999999999495,0.23996431574940008,0.44196431574889505,0.5277776666666667,0.0,0.5429495260073893,0.610385747748474,0.25,0.333333,0,0
C10111,0.16346254599934615,0.37665599999849336,0.0,0.37665599999849336,0.6666666666666666,0.083333,0.0,0.16346254599934615,1.0,0.0,0,0
C10113,0.6233122789968835,0.21184999999894075,0.20619952899896904,0.41804952899790976,0.5833333333333334,0.0,0.4932418641656544,0.6233122789968835,0.666667,0.083333,0,0
C10115,0.028403045999948362,0.24633818181773393,0.0,0.24633818181773393,0.578283,0.0,0.0,0.028403045999948362,0.916667,0.0,0,0
C10116,0.8079407704742668,0.0,0.24008301714228553,0.24008301714228553,0.361111,0.0,0.9999999999900828,0.8079407704742668,0.0,0.083333,0,0
C10117,0.6262345992933808,0.33084705882314014,0.29533564129377016,0.6261827001169102,0.7777776666666667,0.0,0.4716445236159913,0.6262345992933808,1.0,0.333333,0,0
C10118,0.9226517271415391,0.0,0.4800326848564571,0.4800326848564571,0.4166666666666667,0.0,0.999999999997024,0.9226517271415391,0.0,0.25,0,0
C10119,0.035068330199929866,0.3017799999993965,0.0,0.3017799999993965,0.4949496666666667,1.0,0.0,0.035068330199929866,0.666667,0.0,1,1
C10120,0.22673171899924424,0.34852333333217156,0.0,0.34852333333217156,0.6666666666666666,0.0,0.0,0.22673171899924424,1.0,0.0,0,0
C10121,0.03442517169225473,0.3553507692302226,0.0,0.3553507692302226,0.40656566666666666,0.333333,0.0,0.03442517169225473,0.583333,0.0,0,0
C10122,0.9920149683278222,0.0,0.32011465666488825,0.32011465666488825,0.4166666666666667,0.0,0.9999999999826451,0.9920149683278222,0.0,0.25,0,0
C10123,0.007847604428560218,0.0707142857141847,0.0,0.0707142857141847,0.14646466666666666,1.0,0.0,0.007847604428560218,0.166667,0.0,1,1
C10124,0.8875432839970415,0.0,0.16967460033276777,0.16967460033276777,0.4444443333333334,0.0,0.9999999999803545,0.8875432839970415,0.0,0.333333,0,0
C10126,0.1627027368887081,0.1304877777776328,0.0,0.1304877777776328,0.4166666666666667,0.0,0.0,0.1627027368887081,0.25,0.0,0,0
C10128,0.898873888747191,0.0,0.31214020937402454,0.31214020937402454,0.388889,0.0,0.9999999999899885,0.898873888747191,0.0,0.166667,0,0
C10133,0.8491710183983017,0.3914599999992171,0.0,0.3914599999992171,0.6111110000000001,0.0,0.0,0.8491710183983017,0.833333,0.0,0,0
C10135,0.00533888807691897,0.0,0.21536268723060356,0.21536268723060356,0.05808066666666667,0.0,0.9999999999964282,0.00533888807691897,0.0,0.083333,0,0
C10136,0.02333082979995334,0.1813999999996372,0.054711606599890585,0.2361116065995278,0.20202,0.0,0.23171925932563017,0.02333082979995334,0.25,0.083333,0,0
C10138,0.008094989999973018,0.08353333333305489,0.0,0.08353333333305489,0.40656566666666666,0.0,0.0,0.008094989999973018,0.583333,0.0,0,0
C10140,0.057777248749855556,0.109999999999725,0.0,0.109999999999725,0.6388889999999999,0.0,0.0,0.057777248749855556,0.916667,0.0,0,0
C10141,0.7813166714960934,0.6653099999966734,0.0,0.6653099999966734,0.5,0.0,0.0,0.7813166714960934,0.5,0.0,0,0
C10143,0.588444074161763,0.7482166666604316,0.4885574716625954,1.236774138323027,0.7222223333333333,0.0,0.39502562070205544,0.588444074161763,0.916667,0.25,0,0
C10145,0.8940413323964238,0.2882399999988471,0.2893234895988427,0.5775634895976898,0.6944443333333333,0.0,0.5009379831096517,0.8940413323964238,1.0,0.083333,0,0
C10146,0.9471308099905287,0.1970599999980294,0.0,0.1970599999980294,0.4444443333333334,0.0,0.0,0.9471308099905287,0.333333,0.0,0,0
C10147,0.10187228746653083,0.0,0.1742803354664343,0.1742803354664343,0.328283,0.0,0.9999999999923496,0.10187228746653083,0.0,0.166667,0,0
C10148,0.7639735067131943,0.0,0.5717647691420403,0.5717647691420403,0.5,0.0,0.9999999999975014,0.7639735067131943,0.0,0.5,0,0
C10149,0.49295198930209627,0.09695255813948979,0.0,0.09695255813948979,0.5555556666666667,0.0,0.0,0.49295198930209627,0.666667,0.0,0,0
C10151,0.40765340706612313,0.13666666666648444,0.0,0.13666666666648444,0.361111,0.0,0.0,0.40765340706612313,0.083333,0.0,0,0
C10152,0.0019354558999980641,0.06896999999993103,0.0,0.06896999999993103,0.580808,0.0,0.0,0.0019354558999980641,0.833333,0.0,0,0
C10153,0.02942351055552286,0.003183333333329796,0.04269575333328589,0.04587908666661568,0.38888866666666666,0.083333,0.9306147186953443,0.02942351055552286,0.083333,0.083333,0,0
C10154,0.7388150199950746,0.6299733333291336,0.0,0.6299733333291336,0.46969700000000003,0.0,0.0,0.7388150199950746,0.5,0.0,0,0
C10155,0.06715360918513544,0.07697777777772076,0.007637191925920268,0.08461496970364102,0.6388886666666667,0.083333,0.09025816534121833,0.06715360918513544,0.833333,0.083333,0,0
C10157,0.23444791661502393,0.6269799999990354,0.0,0.6269799999990354,0.6666666666666666,0.0,0.0,0.23444791661502393,1.0,0.0,0,0
C10158,0.006150781999992312,0.10877999999986403,0.0,0.10877999999986403,0.6666666666666666,1.0,0.0,0.006150781999992312,1.0,0.0,1,1
C10160,0.026613993749933465,0.6157799999984606,0.0,0.6157799999984606,0.5454546666666666,0.636364,0.0,0.026613993749933465,1.0,0.0,1,1
C10161,0.005988045199997006,0.0929669999999535,0.0,0.0929669999999535,0.23232299999999997,0.25,0.0,0.005988045199997006,0.333333,0.0,0,0
C10162,0.7388741079737483,0.44158101265766886,0.4181205443032682,0.8597015569609371,0.9166666666666666,0.0,0.486355457794816,0.7388741079737483,1.0,0.75,0,0
C10163,0.9636166688835355,0.0,0.03681991722201767,0.03681991722201767,0.388889,0.0,0.9999999998491156,0.9636166688835355,0.0,0.166667,0,0
C10165,0.8719753416594003,0.24583333333128474,0.07798317416601681,0.32381650749730156,0.38888866666666666,0.0,0.24082519685831577,0.8719753416594003,0.083333,0.083333,0,0
C10166,0.9124558926636253,0.0,0.14323038799952256,0.14323038799952256,0.4722223333333333,0.0,0.9999999999767275,0.9124558926636253,0.0,0.416667,0,0
C10167,0.4723315490582678,0.0,0.11627720152927495,0.11627720152927495,0.361111,0.0,0.9999999999898822,0.4723315490582678,0.0,0.083333,0,0
C10168,0.7263074808272808,0.5401833333288318,0.0,0.5401833333288318,0.6666666666666666,0.0,0.0,0.7263074808272808,1.0,0.0,0,0
C10169,0.40251005074899376,0.13929749999965177,0.0,0.13929749999965177,0.4166666666666667,0.0,0.0,0.40251005074899376,0.25,0.0,0,0
C10171,0.8923980521524733,0.0,0.056915506769143205,0.056915506769143205,0.361111,0.0,0.9999999999729694,0.8923980521524733,0.0,0.083333,0,0
C10172,0.10288799074987139,0.01645499999997943,0.0,0.01645499999997943,0.45454533333333336,0.0,0.0,0.10288799074987139,1.0,0.0,0,0
C10174,1.1281245629887189,0.924599999990754,0.0,0.924599999990754,0.6666666666666666,0.0,0.0,1.1281245629887189,1.0,0.0,0,0
C10175,0.0873602754997816,0.4938499999987654,0.0,0.4938499999987654,0.5555556666666667,0.0,0.0,0.0873602754997816,0.666667,0.0,0,0
C10176,0.2102010189994745,0.0,0.9179443607477051,0.9179443607477051,0.29629633333333333,0.0,0.9999999999972765,0.2102010189994745,0.0,0.222222,0,0
C10178,0.0018488870399985206,0.023999999999980797,0.0,0.023999999999980797,0.20454533333333336,0.181818,0.0,0.0018488870399985206,0.25,0.0,0,0
C10181,0.8935843455505913,0.0,0.11429842499936502,0.11429842499936502,0.388889,0.0,0.9999999999513942,0.8935843455505913,0.0,0.166667,0,0
C10182,0.81431577173559,0.33330869565072474,0.44222633825894686,0.7755350339096717,0.6944443333333333,0.0,0.5702209686480454,0.81431577173559,0.833333,0.25,0,0
C10183,0.9777468253300742,0.0,0.6801446416643996,0.6801446416643996,0.5277776666666667,0.0,0.9999999999950991,0.9777468253300742,0.0,0.583333,0,0
C10184,0.01683999579999158,0.1767899999999116,0.0,0.1767899999999116,0.6666666666666666,1.0,0.0,0.01683999579999158,1.0,0.0,1,1
C10185,0.0068370399999871,0.04832264150934279,0.0,0.04832264150934279,0.290404,0.166667,0.0,0.0068370399999871,0.416667,0.0,0,0
C10186,0.36131912399855476,1.078991999995684,0.0,1.078991999995684,0.6666666666666666,0.0,0.0,0.36131912399855476,1.0,0.0,0,0
C10187,0.0,0.0045999999999908,0.0,0.0045999999999908,0.02777766666666667,0.0,0.0,0.0,0.083333,0.0,0,0
C10189,0.00045549991666628704,0.016400833333319664,0.0,0.016400833333319664,0.05808066666666667,0.0,0.0,0.00045549991666628704,0.083333,0.0,0,0
C10190,0.011744268399988255,0.06537299999993462,0.0,0.06537299999993462,0.5555556666666667,0.0,0.0,0.011744268399988255,0.666667,0.0,0,0
C10191,0.14043559083216303,1.6742083333193818,0.0,1.6742083333193818,0.5505049999999999,0.142857,0.0,0.14043559083216303,0.833333,0.0,0,0
C10192,0.28433572983285943,0.024629999999958952,0.27618171383287304,0.300811713832832,0.4722223333333333,0.0,0.9181215395914516,0.28433572983285943,0.166667,0.25,0,0
C10193,0.971759163322536,0.5739333333269563,0.0,0.5739333333269563,0.6666666666666666,0.0,0.0,0.971759163322536,1.0,0.0,0,0
C10194,0.3587505029151719,0.40398333333165004,0.1859304987492253,0.5899138320808753,0.5,0.0,0.3151824701110273,0.3587505029151719,0.416667,0.083333,0,0
C10196,0.6441678279957056,0.2076333333319491,0.6373064993290847,0.8449398326610338,0.472222,0.0,0.7542625814159313,0.6441678279957056,0.333333,0.083333,0,0
C10197,0.006278966504054831,0.04559349593488521,0.0,0.04559349593488521,0.32575766666666667,0.090909,0.0,0.006278966504054831,0.25,0.0,0,0
C10198,0.031614660666613975,0.011023333333314962,0.0,0.011023333333314962,0.361111,0.0,0.0,0.031614660666613975,0.083333,0.0,0,0
C10199,0.010104313749974739,0.0197999999999505,0.4078940937489803,0.4276940937489308,0.17676733333333336,0.083333,0.9537052292941929,0.010104313749974739,0.083333,0.083333,0,0
C10200,0.3310846707876781,0.0880799999999466,0.0,0.0880799999999466,0.5,0.0,0.0,0.3310846707876781,0.5,0.0,0,0
C10201,0.9959809262475101,0.18913499999952715,0.0,0.18913499999952715,0.5,0.0,0.0,0.9959809262475101,0.5,0.0,0,0
C10204,0.008683435866660878,0.0895459999999403,0.0,0.0895459999999403,0.6363636666666667,0.545455,0.0,0.008683435866660878,1.0,0.0,1,1
C10205,0.24672687049969158,0.1091249999998636,0.0,0.1091249999998636,0.388889,0.0,0.0,0.24672687049969158,0.166667,0.0,0,0
C10207,0.0018740825652165765,0.016086956521732136,0.0,0.016086956521732136,0.20707066666666665,0.0,0.0,0.0018740825652165765,0.166667,0.0,0,0
C10208,0.2832730239985837,0.20287499999898564,0.5223258089973885,0.7252008089963741,0.580808,0.0,0.7202498983924862,0.2832730239985837,0.5,0.333333,0,0
C10209,0.006131813249984671,0.06540999999983647,0.0,0.06540999999983647,0.580808,0.818182,0.0,0.006131813249984671,0.833333,0.0,1,1
C10211,0.5964389691424311,0.14209142857132706,0.06383985021424012,0.20593127878556716,0.472222,0.0,0.3100056027938041,0.5964389691424311,0.333333,0.083333,0,0
C10213,0.0006692824999983268,0.010847499999972882,0.0,0.010847499999972882,0.05808066666666667,0.090909,0.0,0.0006692824999983268,0.083333,0.0,0,0
C10214,0.8726013033284856,0.35851111110911943,0.9251842655504157,1.2836953766595351,0.527778,0.0,0.7207194809363182,0.8726013033284856,0.166667,0.416667,0,0
C10215,0.6858797128564895,0.09400952380943427,0.5208210099042658,0.6148305337137001,0.5277776666666667,0.0,0.8470968524572053,0.6858797128564895,0.333333,0.25,0,0
C10216,0.5624247837386414,0.12731652173901972,0.34329285565187534,0.4706093773908951,0.75,0.0,0.7294645456375956,0.5624247837386414,0.833333,0.416667,0,0
C10217,0.01281618179997437,0.1853999999996292,0.0,0.1853999999996292,0.23484833333333333,0.222222,0.0,0.01281618179997437,0.25,0.0,0,0
C10219,0.48940079466601416,0.1287333333331617,0.0,0.1287333333331617,0.5,0.0,0.0,0.48940079466601416,0.5,0.0,0,0
C10220,0.32778350093289627,0.0,0.013636797866648483,0.013636797866648483,0.30050499999999997,0.0,0.9999999999022254,0.32778350093289627,0.0,0.083333,0,0
C10221,0.12800082266645335,0.05606833333323989,0.0,0.05606833333323989,0.5833333333333334,0.0,0.0,0.12800082266645335,0.75,0.0,0,0
C10222,0.018911869749952723,0.1349999999996625,0.0,0.1349999999996625,0.32575766666666667,0.0,0.0,0.018911869749952723,0.25,0.0,0,0
C10223,0.00032443386666623406,0.0047999999999936,0.0,0.0047999999999936,0.11616166666666668,0.0,0.0,0.00032443386666623406,0.166667,0.0,0,0
C10224,0.7478205973283479,0.5856799999960955,0.1317654073324549,0.7174454073285503,0.6944443333333333,0.0,0.18365914114896445,0.7478205973283479,1.0,0.083333,0,0
C10226,0.0006580947826081233,0.012544347826076047,0.0,0.012544347826076047,0.2929293333333333,0.111111,0.0,0.0006580947826081233,0.333333,0.0,0,0
C10227,1.0267207989948663,0.2469249999987654,0.8691668899956542,1.1160918899944194,0.7777776666666667,0.0,0.7787592561004151,1.0267207989948663,0.5,0.833333,0,0
C10228,0.2849778750584882,0.5283164705876137,0.02220979070585622,0.5505262612934698,0.6944443333333333,0.0,0.04034283605949427,0.2849778750584882,1.0,0.083333,0,0
C10230,0.4373162815708039,0.2613142857139124,0.0,0.2613142857139124,0.6666666666666666,0.0,0.0,0.4373162815708039,1.0,0.0,0,0
C10232,0.3745946874480175,0.12580413793094772,0.0,0.12580413793094772,0.6666666666666666,0.0,0.0,0.3745946874480175,1.0,0.0,0,0
C10234,0.007115407249982211,0.0249999999999375,0.0,0.0249999999999375,0.361111,0.0,0.0,0.007115407249982211,0.083333,0.0,0,0
C10236,0.3551787631760527,0.2659305882349812,0.0,0.2659305882349812,0.6111110000000001,0.0,0.0,0.3551787631760527,0.833333,0.0,0,0
C10237,0.0008713199999927392,0.0,0.38886991249675945,0.38886991249675945,0.148148,0.5,0.9999999999785704,0.0008713199999927392,0.0,0.111111,1,1
C10239,0.76499960428025,0.7076428571378026,0.0,0.7076428571378026,0.5833333333333334,0.0,0.0,0.76499960428025,0.75,0.0,0,0
C10241,0.22033365280663098,0.18224736842073289,0.19169029894703213,0.373937667367765,0.6666666666666666,0.0,0.5126263430359551,0.22033365280663098,0.916667,0.083333,0,0
C10242,0.8919429147964322,0.01825999999992696,0.0,0.01825999999992696,0.361111,0.0,0.0,0.8919429147964322,0.083333,0.0,0,0
C10243,0.7878296923307073,0.8806599999970645,0.0879615809997068,0.9686215809967713,0.6388886666666667,0.0,0.09081108941314957,0.7878296923307073,0.833333,0.083333,0,0
